feature_id,feature_class,scope,window_id,window_order,d_star,adf_rejects,operator_status,bootstrap_p_value_bucket,used_for_operator_selection
F001,LOG_LEVEL,REGIME,REGIME_W001,1,0.15,TRUE,STATIONARY,p<0.01,FALSE
F002,LEVEL,REGIME,REGIME_W001,1,0.14,TRUE,STATIONARY,p<0.01,FALSE
F003,LEVEL,REGIME,REGIME_W001,1,0.18,TRUE,STATIONARY,p>=0.10,FALSE
F004,LEVEL,REGIME,REGIME_W001,1,0.15,TRUE,STATIONARY,p>=0.10,FALSE
F005,LEVEL,REGIME,REGIME_W001,1,0.09,TRUE,STATIONARY,p>=0.10,FALSE
F006,LEVEL,REGIME,REGIME_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F007,LOG_LEVEL,REGIME,REGIME_W001,1,0.13,TRUE,STATIONARY,p>=0.10,FALSE
F008,LOG_LEVEL,REGIME,REGIME_W001,1,0.1,TRUE,STATIONARY,p>=0.10,FALSE
F009,LEVEL,REGIME,REGIME_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F010,LEVEL,REGIME,REGIME_W001,1,0.12,TRUE,STATIONARY,p<0.01,FALSE
F011,LOG_LEVEL,REGIME,REGIME_W001,1,0.01,TRUE,STATIONARY,p>=0.10,FALSE
F012,LEVEL,REGIME,REGIME_W001,1,0.18,TRUE,STATIONARY,p>=0.10,FALSE
F013,LEVEL,REGIME,REGIME_W001,1,0.15,TRUE,STATIONARY,p<0.01,FALSE
F014,LEVEL,REGIME,REGIME_W001,1,0.23,TRUE,STATIONARY,p<0.01,FALSE
F015,LEVEL,REGIME,REGIME_W001,1,0.23,TRUE,STATIONARY,p<0.01,FALSE
F016,LEVEL,REGIME,REGIME_W001,1,0.2,TRUE,STATIONARY,p>=0.10,FALSE
F017,LEVEL,REGIME,REGIME_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F018,LEVEL,REGIME,REGIME_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F019,LOG_LEVEL,REGIME,REGIME_W001,1,0.09,TRUE,STATIONARY,p>=0.10,FALSE
F020,LEVEL,REGIME,REGIME_W001,1,0.23,TRUE,STATIONARY,p>=0.10,FALSE
F021,LEVEL,REGIME,REGIME_W001,1,0.15,TRUE,STATIONARY,p<0.01,FALSE
F022,LEVEL,REGIME,REGIME_W001,1,0.22,TRUE,STATIONARY,p<0.01,FALSE
F001,LOG_LEVEL,REGIME,REGIME_W002,2,0.32,TRUE,STATIONARY,p<0.01,FALSE
F002,LEVEL,REGIME,REGIME_W002,2,0.06,TRUE,STATIONARY,p<0.01,FALSE
F003,LEVEL,REGIME,REGIME_W002,2,0.18,TRUE,STATIONARY,p>=0.10,FALSE
F004,LEVEL,REGIME,REGIME_W002,2,0.17,TRUE,STATIONARY,p>=0.10,FALSE
F005,LEVEL,REGIME,REGIME_W002,2,0.28,TRUE,STATIONARY,p>=0.10,FALSE
F006,LEVEL,REGIME,REGIME_W002,2,0.37,TRUE,STATIONARY,p>=0.10,FALSE
F007,LOG_LEVEL,REGIME,REGIME_W002,2,0.24,TRUE,STATIONARY,p>=0.10,FALSE
F008,LOG_LEVEL,REGIME,REGIME_W002,2,0,TRUE,STATIONARY,p>=0.10,FALSE
F009,LEVEL,REGIME,REGIME_W002,2,0.35,TRUE,STATIONARY,p>=0.10,FALSE
F010,LEVEL,REGIME,REGIME_W002,2,0.47,TRUE,STATIONARY,p<0.01,FALSE
F011,LOG_LEVEL,REGIME,REGIME_W002,2,0.07,TRUE,STATIONARY,p>=0.10,FALSE
F012,LEVEL,REGIME,REGIME_W002,2,0.1,TRUE,STATIONARY,p>=0.10,FALSE
F013,LEVEL,REGIME,REGIME_W002,2,0.4,TRUE,STATIONARY,p<0.01,FALSE
F014,LEVEL,REGIME,REGIME_W002,2,0.33,TRUE,STATIONARY,p<0.01,FALSE
F015,LEVEL,REGIME,REGIME_W002,2,0.19,TRUE,STATIONARY,p<0.01,FALSE
F016,LEVEL,REGIME,REGIME_W002,2,0.47,TRUE,STATIONARY,p>=0.10,FALSE
F017,LEVEL,REGIME,REGIME_W002,2,0.5,TRUE,STATIONARY,p>=0.10,FALSE
F018,LEVEL,REGIME,REGIME_W002,2,0.74,TRUE,STATIONARY,p>=0.10,FALSE
F019,LOG_LEVEL,REGIME,REGIME_W002,2,0.26,TRUE,STATIONARY,p>=0.10,FALSE
F020,LEVEL,REGIME,REGIME_W002,2,0.1,TRUE,STATIONARY,p>=0.10,FALSE
F021,LEVEL,REGIME,REGIME_W002,2,0.35,TRUE,STATIONARY,p<0.01,FALSE
F022,LEVEL,REGIME,REGIME_W002,2,0.14,TRUE,STATIONARY,p<0.01,FALSE
F001,LOG_LEVEL,SEGMENT,SEGMENT_W001,1,0.21,TRUE,STATIONARY,p<0.01,FALSE
F001,LOG_LEVEL,SEGMENT,SEGMENT_W002,2,0.21,TRUE,STATIONARY,p<0.01,FALSE
F002,LEVEL,SEGMENT,SEGMENT_W001,1,0.26,TRUE,STATIONARY,p<0.01,FALSE
